"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate"
"BUTTER","BUTTER,WITH SALT","1001","0","2.11","158","0","0.06"
"BUTTER","BUTTER,WHIPPED,WITH SALT","1002","0","2.11","158","0","0.06"
"BUTTER OIL","BUTTER OIL,ANHYDROUS","1003","0","0.0","193","0","0.0"
"CHEESE","CHEESE,BLUE","1004","0","5.11","74","0","2.34"
"CHEESE","CHEESE,BRICK","1005","0","3.18","76","0","2.79"
"CHEESE","CHEESE,BRIE","1006","0","2.7","9","0","0.45"
"MILK","MILK,WHL,3.25% MILKFAT","1077","0","0.69","5","0","4.52"
"MILK","MILK,PRODUCER,FLUID,3.7% MILKFAT","1078","0","0.72","0","0","4.65"
"MILK","MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A","1079","0","0.71","3","0","4.68"
"YOGURT","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ","1116","0","0.72","5","0","4.66"
"YOGURT","YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ","1117","0","1.09","2","0","7.04"
"YOGURT","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","1118","0","1.18","0","0","7.68"
"YOGURT","YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ","1122","0","1.03","0","0","18.6"
"EGG","EGG,WHOLE,RAW,FRESH","1123","0","0.86","10","9","0.77"
"EGG","EGG,WHITE,RAW,FRESH","1124","0","0.63","0","0","0.73"
"EGG","EGG,YOLK,RAW,FRSH","1125","38","1.71","88","33","3.59"
"EGG","EGG,YOLK,RAW,FROZEN","1126","36","1.55","85","32","1.15"
"BABYFOOD","BABYFOOD,MEAT,BF,STR","3002","0","0.57","0","0","2.43"
"BABYFOOD","BABYFOOD,MEAT,BF,STR","3003","0","0.57","0","0","2.43"
"BABYFOOD","BABYFOOD,MEAT,VEAL,STR","3005","0","0.54","0","0","1.51"
"BABYFOOD","BABYFOOD,MEAT,PORK,STR","3007","0","1.1","0","0","0.0"
